#OTU ID	YD17L1	YD17L2	YD17L3	YD17L4	YD24L1	YD24L2	YD24L3	YD24L4	YD32L1	YD32L2	YD32L3	YD32L4	YD3L1	YD3L2	YD3L3	YD3L4	YD43L1	YD43L2	YD43L3	YD43L4	YD45L1	YD45L2	YD45L3	YD45L4
Zotu242	220	1	46	3	42	2	1	0	41	5	5	0	12	1	1	0	9	0	0	0	22	7	5	3
Zotu5	489	515	5388	590	174	2133	9616	1498	3754	1111	1078	2807	47	495	6	8668	48	606	3091	1144	86	1518	739	1152
Zotu44	865	304	12	44	666	282	17	0	76	366	1126	1	266	94	1	53	190	152	4	99	656	419	178	145
Zotu245	374	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Zotu23	1529	97	614	69	245	52	188	101	1270	159	1323	43	401	65	211	6	36	41	61	14	522	116	100	31
Zotu3	2052	1934	6382	1685	1193	2664	7302	5227	8512	2433	1798	2391	769	838	16	6577	497	2650	3445	1118	1517	9078	563	5286
Zotu5043	0	0	0	2	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu22	623	72	1	17	8	42	50	136	3	170	827	54	0	28	0	834	11	87	1844	3141	38	172	2	26
Zotu104	1214	2	1	0	4	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0
Zotu82	832	13	0	9	8	0	1	0	26	0	1	0	6	2	0	42	126	0	7	0	316	6	4	0
Zotu73	1989	1	0	0	18	0	0	0	48	0	1	0	0	0	0	0	2	0	0	0	5	0	0	0
Zotu92	916	280	0	0	0	0	0	1	326	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0
Zotu17	2585	10	4	0	39	3	5	2	8385	3	9	3	0	2	4	0	2	1	0	0	20	0	4	1
Zotu50	450	99	1	131	21	55	0	0	7	2835	417	0	7	20	3	53	2	55	5	274	84	276	34	41
Zotu58	137	10	13	3	214	3	7	0	75	50	1138	0	54	5	9	7	22	0	7	0	1163	56	68	98
Zotu312	160	0	18	0	14	0	0	0	48	0	0	0	4	9	0	0	30	0	0	0	4	2	4	0
Zotu400	84	46	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
